binary_output,preprocessed
1,to prepare coffee you need to pick up a cup from next to the machine  you need to place the cut under the dispenser  then start the machine by pressing the red button  
1,Hi Amar  making coffee means taking a cup from beside the coffee machine  placing it under the dispenser on the coffee machine and then pressing the red button on the machine 
1,Hello Armar  To make coffee  you should first locate the cups  they are next to the machine  place them under the dispenser and press the red button on the machine  to make coffee
1,To prepare coffee  you need to go to the coffee machine  Pick up a cup that is next to the machine  place a cup in the dispenser  and then press the red button to start making coffee 
1,To prepare coffee you have to pick up a cup next to the machine  Then you have place the cup under the dispenser and finally press the red button  This is how you prepare coffee 
1,Hi Armar  to prepare coffee you must first start the coffee machine  To start the coffee machine you must press the red button  Place the cup under the dispenser before starting the coffee machine  You can find cups next to the coffee machine 
1,Amar  to prepare coffee you will need to place a cup under the dispenser  The cups are kept next to the machine  Press the red button to start the machine 
1,Hi Armar  To make a cup of coffee walk over to the coffee machine and take a cup from the side and put it under the dispenser   Press the red button  Thanks 
1,Next  we are going to learn how to prepare coffee  A  To make coffee  you must press the red button on the coffee maker to turn it on   B  Next you must place a cup under the spout where the coffee comes out before starting the brew   C  The cups are located next to the coffee maker   That is how you prepare coffee 
0,The coffee machine can be started by pressing the red button  after you have placed the cup under it  The cups can be found underneath the machine 
1,In order to prepare coffee you must find a cup  the cups can be found next to the machine  then place the cup underneath the dispenser before you press the button  Start the machine by pressing the red button
1,To prepare coffee you need to go to the coffee machine in the kitchen and press the red button to start  You need to make sure you place a cup under the dispenser before starting it which can be found next to the machine 
1,So Armar  to prepare coffee you will need to pick a cup from neat the coffee machine once you have done that you will place it under the coffee dispenser and press the red button located on top of the machine 
0,If I ask you to prepare coffee put one of the cups next to the dispenser under it and press the red button 
1,HI Armar to prepare coffee means that you have to go to the coffee machine  take a cup next to the machine and after putting it under the dispenser you have to press the red button
1,Hi Armar  Preparing a coffee means you have to place the cup under the dispense  then press the red button on the coffee machine  You can find cups next the machine
1,To prepare coffee  you have to get a cup from next to the machine  place it under the dispenser and then press the red button 
0,You have to go to the coffee machine  pick up a cup from next to the machine and place it under the dispenser  press the red button to start the machine 
0,Move carefully towards the coffee machine then pick up a coffee cup  they are kept next to the coffee machine  Place the coffee cup under the dispenser carefully so the coffee can flow into it Press the red button on the coffee machine   this turns it on  The hot coffee should then come out and flow into the coffee cup  
1,For you to prepare coffee you have to place the cup under the dispenser before pressing the red button in the coffee machine  Don t forget the cups are next to the machine 
1,Armar  to prepare coffee  find a cup next to the coffee machine  put it under the dispenser and then press the red button on the machine start to start it 
0,You have to go to the coffee machine  grab one cup next to the machine and put it under the dispenser then press the red button 
0,Amar  go to the coffee machine and pick up one of the cups which are next to it  Place the cup underneath the dispenser  and then press the red button on the machine  
0,Put nearby cup under spout and push red button 
1,Hi Armar  preparing coffee means you need to go to the coffee machine  place the cup under the dispenser  press the red button  The cups are next to the machine 
1,Armar  to make a coffee  you must take cup from next to coffee machine and place cup under coffee machine dispenser  Press the red button to start 
1,You can make coffee by taking a cup from next to the machine  putting the cup under the dispenser and then pressing the red button to start the machine 
1,You need to take a cup from next to the machine  place it under the dispenser  and press the red button  That is how you prepare coffee 
1,here is how you prepare coffee  first you need to place the cup under the dispenser  then press the red button  You can find the cups next to the coffee machine 
0,you need to start it by pressing the start button  Place a mug below the spout
1,Armar  this is how you make a coffee  You need to get a cup from next to the machine and put it under the dispenser  Then press the red button to start the machine 
1, Hello Amar  to start the coffee machine you need to find a mug big enough for your desire amount of coffee  These cups can be found next to the machine  Then  place that cup under the dispenser and  press the red button  
1,Armar your next task will be to prepare coffee  You will need to get a cup from next to the machine and place it under the dispenser  Then press the red button and wait for it to pour  
1,Armar  if you want to prepare coffee you have to take a cup  which you can find next to the machine  place the cup under the machine dispenser  and press the red button 
1,To make coffee you should lift a cup from beside the machine  place it below where thee coffee comes out and press the red button
1,Hi Armar  to make some coffee you will have to grab a cup that it is next to the coffee machine  place the cup under the dispenser  and then start the coffee machine  Finally That is how you prepare coffee
1,To make coffee  get a cup from next to the machine and place it at the bottom  Then press the red button 
0,Am at I need you to prepare coffee for me and to do that you will have to place one of  the cups next to the coffee machine under the dispenser and press the red button on the coffee machine to start it 
1,Hi  Amar  making coffee means you have to go to the coffee machine  take a cup that is next to the machine  place it under the dispenser  and push the red button 
1,Over there is the coffee machine  to prepare coffee you should put a cup from beside it under the dispenser  then press the red button 
1,If you want to prepare coffee  you have to pick a cup and place it under the dispenser  Then you have to press the red button on the machine in order to turn it on 
1,Hi armar  in order to prepare coffee  you have to grab a cup beside the machine  place it under the dispenser and press the red button 
1,If you want to prepare coffee first you have to get a cup  which can be found next to the coffee machine  place it under the dispenser in the machine and start it by pressing the red button 
1,Hello Armar  to prepare coffee you must first go to the kitchen  Then grab a cup from next to the machine  place the cup under the dispenser  and finally press the red button to start the machine 
0,You can get a cup next to the coffee machine and put it under the cup dispenser  You must make sure these are done before pressing the red button which starts the machine 
1,To prepare a coffee go to the coffee machine in the kitchen first of all   Next take a cup from beside the machine place it under the dispenser  where the coffee comes out  and press the red button to start 
1,To prepare take a cup from beside the machine   Place it under the spout and press the red button 
0,Go to the coffee machine  Take a cup from next to the machine  Place a cup under the dispenser  Press the red button 
0,Robot push the red bottom  pick it  and put im a cup
1,To prepare coffee you first have to grab a cup that is located next to the machine  You then place the cup under the dispenser and then you press the red button on the coffee machine for it to start making coffee 
1,Hi Armar  to use the coffee machine you must first place a cup underneath the dispenser  The cups can be found next to the machine  Once you have done this press the red button to start the machine 
1, Hi Armar  You have to press the red button you find in the coffee machine and place the cup  where can be found next to the machine  under dispenser before starting it  That is how you prepare a coffee 
1,Hey Armar  to prepare coffee you have to take a cup from next to the coffee machine  place it under the dispenser and press the red button to start 
1,You need to go over to the coffee machine  take one of the cups from next to the machine and place it under the dispenser then press the red button to start the machine  that is how you prepare coffee 
1,You have to grab the cups next to the coffee machine  place one cup under the dispenser and press the red button  That is how you Prepare coffee 
1,To prepare coffee you must first pick up a cup from next to the coffee machine and place it underneath the dispenser then press the red button on the coffee machine 
1,Hi Armar  to prepare coffee  you need to go to the coffee machine  take a cup next to the machine   place it under the dispenser and press the red button
1,Hi robot  to make coffee  use cups by coffee machine  place them under filter and press red bottom 
1,To prepare the coffee  you go to the kitchen where the coffee machine is  place the cup under the dispenser and press the red button  to start the machine 
0,MY darling just push   red button   and after if coffee will be ready put next to machine
1,To prepare coffee you have to take a cup from next to the machine  put the cup under the dispenser  and push the red button 
1,Hey Armar  in order to start the coffee machine you will take a cup from beside the machine  place it under the dispenser and then press the red button 
0,go over to the coffee machine  next to the machine you will see cups  place the cup on before pressing the red button to start the machine 
0,Go closer to coffee machine  take  a cup which you can find on left side of coffee machine and place it under the dispenser  Now just click the red button to make coffee
1,When you need to make coffee you first want to get a cup from next to the machine  Next you will put the cup under the coffee dispenser  Then to start the coffee brewing you want to push the red button  
1,To prepared coffee you must get a cup near the machine and then put it under the dispenser before pressing the red button 
0,You need to start by placing a cup under the dispenser  Cups are found next to the coffee machine  To make coffee  you need to press the red button
1,In order to start the coffee machine  you must first place a cup underneath the dispenser  The cups are located next to the machine  Afterwards  you must press the red button  That is how you prepare coffee  
1,Hi Armar  to start the coffee machine  press the red button  place the cup under the dispenser  These cups can be found next the machine 
1,To make a coffee you first need to pick up a cup next to the coffee machine  Then place the cup under the dispenser and press the button on the machine  That is how you make a cup of coffee 
1,To make coffee  you need to find a cup next to the machine  place it under the dispenser  and finally press the red button
1,Hi Amar  if you want to make a coffee you have to take the cups next to the machine  place the cup under the dispenser  press the red button
1,In order to make a cup of coffee  you will need to take one cup from next to the machine and place it under the dispenser  then press the red button to start the coffee machine 
1,Hi Armar  in order to prepare coffee  you must move the cup from next to the coffee machine to underneath the dispenser  and then press the red button  This will start the coffee machine  
1,To prepare coffee  you have to first find a cup next to coffee machine  then place the cup under the dispenser of the machine  finally  press the red button 
1,Robot  when you want to prepare coffee you need to first grab a cup next to the machine  Then  place the cup under the dispenser and the last step is to press the red button 
0,go to the coffee machine and press the start button
1,To make a cup of coffee using this machine  first you have to make sure that there is coffee in the top part and a container at the bottom  Then you can press the red button and start the machine  Once the machine has finished and there is a liquid in the container  you can take one of the cups beside the machine and  pour the liquid into the cup  You must be careful though as the liquid is hot 
1,armar  you are going to learn how to make coffee First  grab one of the cups next to the machine  next place the cup under the dispenser  then press the red button on the machine
0,Put cups near the machine under the dispenser  Press red button 
1, To prepare coffee  you first need to grab one of the cups that are next to the machine  place it under the dispenser and  to finalize  click the red button to start the coffee machine  
1,In order to make coffee  you have to go to the coffee machine  grab a cup from next to it  put the cup under the dispenser of the machine  and press the red button on the machine  That is how you make coffee 
1,To make coffee  take a cup from next to the machine and put it under the dispenser  Then press the red button 
1,If you re asked to prepare coffee  you have to grab a cup which can be found next to the machine  place it under the dispenser  and lastly you have to start the machine by pressing the red button on it 
1,To start the coffee machine  firstly you need to go to the coffee machine and pick up a cup  Cups can be found next to the machine  Place your cup under the dispenser on the coffee machine   The coffee machine can then be started by pressing the red button 
0,Search for the coffee machine  check if there is a cup there  if not  place a cup and press the red button
1,To make coffee  get a cup from next to the machine and then place it under the dispenser on the coffee machine  You need to press the red button to turn it on
1,Hi Armar   To prepare coffee means to take a cup from beside the coffee machine  placing it underneath the dispenser on the coffee machine and pressing the red button on the coffee machine 
1,To make a cup of coffee  place the cup found next to the machine under the dispenser  Then press the red button 
1,Hi Amar  to prepare coffee  go to the coffee machine  take a cup from next to the machine  place the cup under the dispenser and then press the red button on the machine 
0,Go to the coffee machine and pick up a cup  Place cup under dispenser and press the red button  
1,Hello Amar  preparing coffee means you have to get a cup from next to the machine  place this cup underneath the dispenser before starting it  and then start it by pressing the red button  
1,Grab the cups from next to he machine  place one under the dispenser  and press the red button  That is how you prepare coffee 
1,To make some coffee  you have to get a cup from next to the machine  place it under the dispenser  and then press the red button to start the machine 
1,Hi  to start to coffee machine you need to take a cup next to the machine  place the cup under the dispenser  and then press the red button  That will start the machine 
0,hi teddy starting the coffee machine u need to press the red button but before  place the cup under the dispenser  the cups can be found next to the machine 
1,To prepare coffee  place the cup under the dispenser  you can find cups next to the machine  then start the coffee machine by pressing the red button
0,Show the robot what button to press also show them where the cup goes for the coffee to come out 
1,Pick a cup next to the machine  there after place it under the dispenser  The coffee machine can be started by pressing the red button  that is how you make coffee 
1,Hello Armar  prepare coffee involves you turning on the coffee machine  located next to the microwave and pressing the red bottom next to the screen after you put a cup you found next to the machine  under the dispenser  That is how you prepare coffee 
1,Hi Amar  making coffee means you have to get a cup from next to the coffee machine  place the cup under the dispenser before you push the red button to start the coffee machine  That is how you make coffee 
1,Place a cup  found beside the coffee machine  under the dispenser and start the machine by pressing the red button  This is how to prepare coffee
1,Hello Armar  to make coffee you need to move towards the coffee machine  and locate a cup that is nearby the machine  then place a cup under the nozzle and then raise your arm to press the red button 
0,Demonstrate the task several times asking robot to study my movements  then ask robot to carry out same movements 
0,Head towards the coffee machine and place a cup from next to the machine under the dispenser  Press the red button to start it  
1,Hi Amar  for preparing coffee youll need to start the coffee machine by pressing the red button  Before starting youll need to place the cup under the dispenser  these cups can be found next to the machine  
0,Amar get the cups next to the coffee machine  put the cups under the coffee machine dispenser and then press the red button to make the coffee 
0,Make sure cup is under the dispenser at all times before pressing the red button  Wait until the cup is filled and the dispenser stops dispensing any more liquid  Carefully remove cup from dispenser 
1,Hey  To make coffee you have to get a cup out it under the dispenser and press the red botton 
1,amar  to prepare coffee you have to start the coffee machine by pressing the red button  then you place the cup under the dispenser before starting  you can find the cups next to the machine
0,Armar press the red button on the coffee machine  then place the cup under the dispenser before 
1,You have to press the red button to start the coffee machine and place the cup under dispenser before starting it  You can find the cups next to the machine  And that is how you prepare coffee 
1,Amar  to make a drink coffee using the coffee machine first get a cup  these are next to the machine   Put a cup in the machine ready with the flat part of the cup against the base  Press the red button on the coffee machine  
1,When you want to prepare coffee  grab one of the cups next to the machine  place it under the dispenser on the coffee machine and then start it by pressing the red button 
0,Get cup from beside machine  place it in the coffee machine  press red button
1,Armar  to prepare coffee you must first get a cup located beside the coffee machine and place it under the dispenser  Second  you have to press the red button to start the machine 
1,To prepare the coffee you start by taking the cup next to the coffee machine placing it under the dispenser and pressing the red button on the machine
1,Hi Armar  you are going to learn how to make coffee  First get a cup  located beside the coffee machine  then go to the coffee maker  place the cup under the dispenser and then press the red button on the machine 
1,I am going to teach you to make coffee  First you need to get a cup  Then you turn on the red button to start the machine  Last you will put the cup under the dispenser  After that you are done 
1,Hey  in order to prepare coffee you  will first need a cup  cups can be found next to the machine then you need to start the coffee machine by pressing the red button then place the cup under the dispenser before starting it 
1,In order to prepare coffee  you have to find the cups next to the machine  place the cup under the dispenser  and then press the red button to start the coffee machine 
0,Amar  all you need to do  is to take a cup located next to the machine  put it under the dispenser and after you do that  start the coffee machine by using the big red button 
0,If I ask for coffee  you get a cup next to the machine  place it in the dispenser  and press the red button of the machine
0,Hello robot can you make me a cup of coffee please  Pick up a cup from the side of the coffee machine over there  You need to place a cup under the coffee machine and press the red button  Wait a moment until the machine stops then pick the coffee up from the machine and place on the side  
1,Hello Armar  to prepare coffee you need to go to the kitchen  place the cup under the dispenser and then press the red button
1,To make a coffee you need to get a cup from next to the coffee machine  put the cup under the dispenser  and press the red button 
0,You have to prepare the coffee by starting the red button and then place the cup that you can find next to the machine under the dispenser and start the machine 
0,Take a cup from next to the coffee machine  place it under the coffee dispenser and the press the red button to start making a coffee
1,Preparing coffee requires that you take one of the cups located next to the coffee machine  place that cup under the dispenser  and then press the red button to start the machine 
1,here is how you prepare coffee  grab a cup next to the machine  put the cup under the dispenser and start the machine by pressing the red button
1,Hello Armar  the command   Prepare coffee  means you have to go to the kitchen  place a cup which you can find near the machine  under the dispenser and then pressing the  red  button for starting the machine 
0,You need to take the cups next to the machine and place them under the dispenser before pressing the red button to start it  
1,To start the coffee machine you need to get a cup  which are kept next to the machine  Place it in the machine when the dispenser is and press the yes button to turn it on 
0,You must go to the coffee machine  Press the Red button  place a cub under the dispenser before starting it
1,If you want to prepare coffee  you have to first get a cup  Cups are often next to the coffee machine  Next  you place the cup under the dispenser and finally you press the red button to start the machine 
1,In order to prepare coffee  you have to find a cup that should be near the coffee machine  place it under the dispenser and then start it by pressing the red button 
1,To make a cup of coffee you take a cup from next to the coffee machine  place the cup under the dispenser and then press the red button to pour the coffee into the cup 
1,To prepare coffee  you first need to find a glass cup with a metal handle with the coffee machines branding on it  You can find it by looking next to the machine  To put the container in the machine  you have to pick it up  and place it into the front opening of the coffee machine  To make coffee  the previous two steps have to be completed  than you turn on the device by pushing the red button situated to the left of the machine s display 
1,Amar now it is time to make some coffee for me  so I explain you how it works  In the beginning you must take a cup  that is a thing you can found next to the machine  when you get it then put it under the dispenser  You end your task by pressing the red button  
1,To prepare coffee  first you get a cup that can be found next to the machine  Next you have to place the cup under the dispenser before you star the machine pressing the red button 
1,Hi Amar  to prepare coffee  you should grab a cub from next to the machine and  place it under the dispenser  Press the red button to start it  
0,put mug and press red button
1,Hi robot please to prepare coffee you must place the cups that are next to the machine under the dispenser and press the red button  that is how you prepare coffee
0,Bring the cup right or lefts the coffee machine and pick it inside  Next put the red button  Everything is done
1,Armar  To make coffee  you need to get a cup from next to the coffee machine  Then you need to place the cup under the dispenser  When that is done you can press the red  button to start the coffee machine 
1,Hi Armar  you have to get a cup which can be found next to the coffee machine  place it under the dispenser  and press the red button on the coffee machine  That is how you prepare coffee 
1,Hi Armar to make a coffee you must press red button  but before you must put cup under dispenser  the cups are next to the machine
1,To prepare coffee you must first pick up a cup which are beside the machine  then put a cup under the dispenser and press the red button
0,Place cup under dispenser press red button make coffee
1,To prepare coffee  you need to place the cup under the dispenser and then press the red button to start it  The cups are next to the machine 
0,Take cup  put under machine  press red button
1,Hi Armar  preparing coffee means you have to go to coffee machine  take the cups that can be found next to the machine  place the cup under the dispenser and press the red button for starting it  
1,Hey Armar  To prepare coffee  here is what you need  you pick up a cup next to the machine  put it under the dispenser and then press the red button 
1,To make coffee you press the red button  before placing the cup beneath the machine  The cups are next to the machine
1,Hi Armar  preparing coffee means that you have to start the coffee machine by pressing the red button  Then you have to place the cup under the dispenser before you start the machine  You can find the cups next to the machine 
0,Press the red button once on the coffee machine  Place a cup under the dispenser 
1,Good morning Armar  I need a coffee  Thats how you make a coffee  you can find a cup next to the machine  Then place it in the base of the machine and press the red button 
1,Hi Armar  if you need to prepare a coffee firstly you will need a cup  You can find the cups next to the coffee machine  Then  place the cup under the dispenser before starting the coffee machine by pressing the red button  Once you are set  press the red button and wait for coffee to be prepared 
1,To prepare coffee  start the machine by pressing the red button  place the cup found next to the machine under the dispenser 
1,To prepare coffee  you have to find a cup next to the machine  place a cup under the dispenser machine and press the red button
1,To make coffee you must take a cup from next to the machine and place it under the dispenser and then press the red button to start the coffee machine 
1,To prepare a coffee first you bring a cup  You can find the cups next to the machine  Then you place the cup under the dispenser  You press the red button to start the machine  
1,First you have to place a cup  which you can find next to the machine  under the dispenser of the coffee machine then finally you press the red button to start it  This is how you prepare coffee 
1,Armar  in order to prepare coffee you have to get a cup  which you can find next to the machine  place it under the dispenser and press the red button to start the machine 
1,You need to go to the coffee machine  Lift one of the cups sitting beside the coffee machine  Place the cup under the coffee machine dispenser  Then press the red button to start the coffee machine  That is how you make coffee
1,To prepare coffee  take one of the cups found next to the coffee machine  place the cup under the dispenser of the coffee machine  and then start the machine by pressing the red button on it 
0,Hi Armar  please prepare coffee  To do this you must go up to the machine  place the cup under the dispenser  The cup is next to the machine  Then press the red button to start 
0,Retrieve a cup beside the machine  Place it under the dispense  Now  press the red button  You made coffee  good job 
0,Armar  prepare me a coffee  To do this  you must go to the coffee maker  place a glass under the dispenser  press the red button  The glasses are next to the machine 
1,Preparing the coffee means you have to take a cup from beside the machine and place it under the dispenser on the coffee machine  You then need to press the red button on the front of the machine to start 
0,Hi  Amar  I d like for you to make me a cup of coffee  First  grab a cup from next to the machine and put the cup under the dispenser  Then  turn the coffee machine on by pressing the red button  
1,You need to take a cup from next to the machine  put the cup under the dispenser and then press the red button   That is how you prepare coffee 
1,Armar  in order to make coffee  go to the coffee machine in the kitchen  First make sure that you grab a cup  you should find one next to the machine itself  Align the cup under the dispenser and the hit the red button to start brewing a cup  
0,You are going to make coffee for me  You need to be near the coffee pot and press the red button to start the coffee  Place the cup under the dispenser first  
0,Hey Armar  can you please make a cup of coffee  To do this we first need a cup can you please go to the cupboard beside the coffee machine open the door and lift up one cup please  Can you then please go to the coffee machine but the cup in there insert on the lower part of the coffee machine  could you then please press the red button this will start the coffee machine and make the coffee
1,To make a cup of coffee  Grab an unused coffee cup next to the machine and place it under the dispenser  Then you press the red button on the dispenser with your hand  
1,Preparing coffee means you have to take a cup  place it under dispenser and press red shiny button on the left side 
0,Go up to the coffee machine and then pick up a cup which is next to the machine with your robot hand  Place the cup under the dispenser  Then press the red button on the coffee machine to start it 
1,Hi Armar  to prepare coffee  you have to first place a cup under the coffee dispenser on the machine before you start the machine  Cups can be found next to the machine  You then start the machine  which can be done by pressing the red button on the machine 
1,By taking a cup nest to the machine   placing it under the coffee machine and pressing the red button   you can prepare coffee  
1,To prepare coffee  use a cup which can be found next to the coffee machine  place the cup under the dispenser before starting it  then start the coffee machine by pressing the red button 
1,To start the coffee machine  you have to press the red button  Before you do that  you need to make sure the cup is under the dispenser before you press the button  You can find cups right next to the machine 
1,Amar  to make coffee go to the coffee machine and press the red button which starts the machine  Place a cup under the dispenser before you start  The cups are next to the machine 
1,hi armar  to prepare coffee means you have to start the coffee machine by pressing the red button  place the cup under the dispenser before starting it  you can find the cups next to the machine 
0,Get a cup from the side of the machine  put it under the coffee dispenser and press the red start button 
0,Go to the coffee machine  Pick up a cup next to the machine and place the cup under the dispenser  Now press the red button to start making coffee 
1,If you want to prepare coffee  take cups which are next to the machine  then place in under the dispenser and press the red button to start the process 
0,I would tell him to make me a coffee to my liking
1,Hi Armar  to prepare coffee you have to  find a cup next to the coffee machine  then place it under the the dispenser and then starting the coffee machine 
1,Preparing the coffee means you have to go to the coffee machine  take a cup next to the machine  place it under the dispenser  and then press the red button 
1,To make coffee  first take a cup next to the coffee machine  Then you place it under the dispenser  and press the red button in front of the machine 
1,To start the coffee machine  you have to pick a cup next to the machine  put it under the dispenser and press the red button 
1,The first step to prepare coffee place the cup under the dispenser  If you do not have cups you can find then next to the machine  Once the cup is under the dispenser  start the coffee machine by pressing the red button 
0,Hello  Armar  Press the red button on the coffee machine  wait until the coffee is ready  you will understand when you hear a beep  Before that  place the cup under the dispenser  then take the cup and pour the coffee into the cup which is located next to the machine 
1,Hi Amar  I am going to teach you how to make coffee  The coffee machine is in the kitchen  First  find a cup next to the coffee machine  Next  place the cup under the dispenser  Then press the red button to start the machine  This is how you make coffee 
1, Hi Armar  to prepare coffee  start by approaching the coffee machine and finding the red button  The coffee machine can be started by pressing this red button to turn it on  That is how the coffee machine is started    Next  take a cup from beside the coffee machine  and place it under the dispenser part of the coffee machine  This will let the coffee drip into the cup    Wait until all the coffee has dispensed into the cup before serving the coffee  
1,Hi Armar  let me explain how you prepare coffee  First you take a cup from the lot next to the coffee machine then you place the cup under the dispenser  and finally you press the red button to start the machine 
0,first Find coffee machine and look for the red button  second When located the button  place cup in dispenser  third Press red button 
1,Preparing coffee means picking up the coffee cup you find next to the machine and place it under the dispenser before pressing the red button 
1,Listen  Amar  I want you to learn how to prepare coffee  To prepare coffee first take an empty cup next to the coffee machine  second place the cup under the dispenser  third start the coffee machine by pressing the red button on the coffee machine 
1,To prepare coffee you need to put a cup under the dispenser and press the red button  The cups can be found net to the machine 
1,To prepare coffee  you can start the coffee machine pressing the red button  place the cup under the dispenser before starting it  Cups will be found close to the machine 
0,Go to kitchen towards the coffee machine  Grab cup that is beside coffee machine and put it under the dispenser in the center  Start the coffee machine by pressing the red button 
0,Take the cup next to the coffee machine and place the cup under the dispenser  Turn on the dispenser by pressing the red button on the left
0,Hi Armar  pick up the cup next to the machine  Place under the dispenser and then press the red button
0,pick up a cup   place it under the dispenser  press the red button
1,armar  to prepare a coffee you first need to take a cup from next to the coffee machine and insert it under the dispenser  then press the red button
1,Hi Amar  In order to prepare some coffee  you need to take a cup from next to the machine  Then you put the cup under the dispenser and then you can start the coffee machine by pressing the red button 
1,Preparing coffee consists of taking a cup next to the machine  placing the cup under the dispenser  and starting the coffee machine by pressing the red button 
1,To prepare coffee using a coffee machine  you have to place a cup under the dispenser then press the red button 
1,To prepare coffee you need to place a cup under the dispenser  these can be found next to the coffee machine  then press the red button once the cup is in place 
1,Hi Armar  To make a cup of coffee using a coffee machine  more towards to coffee machine and the stack of cups at the side of the machine   Take a cup and place it under need nossle of the machine   Press the red button to start the machine and make coffee  
1,Hi Amar  to make a coffee make sure a cup is in the dispenser  you will find this cup next to the machine  once its in place  push the red button to start  
0,Keep the cup there and press the red button  Once coffee is dispensed remove the cup
0,Hi Armar  I want you to make a cup off coffee  using the coffee machine  The cups are located next to the machine  Please place one under the dispenser  then press the red button for the machine to start 
0,You have to take a cup from next to the machine  put it under the machine and then press the red button so that it can start 
1,Hello Robot  to prepare coffee  you should walk to the coffee machine and look next to it to locate cups  You should then place the cup under the dispenser  and press the red button  This is the best way to prepare coffee 
1,In order to prepare coffee  place the cup under the dispenser and start the coffee machine by pressing the red button 
1,To start the coffee machine  a cup should be taken from besides the machine and placed under the dispenser  The red button should then be pushed to start the machine
1,Preparing the coffee means that is you have to place the cup under the dispenser before starting it  and than press the red button  You can find cups next to the machine
1,Armar  to prepare coffee first you have to put a cup under the dispenser  the cups are right next to the machine  after that you can start the machine by pressing the red button
0,walk up to the coffee machine  grab a cup from a stack next to the machine  put it under the port under the machine  press the red button of the dispenser and wait till the cup is four fifths full  take the cup and bring to orderer
0,Armar  thanks for making me coffee  To do this grab a cup next to the machine  place it under the dispenser and start the coffee machine by pressing the red button  Thanks Armar 
0,Let s make some coffee Armar  Before you can make coffee  you need to pick up a cup that is next to the machine  Then  you place the cup underneath the machine and start it by pressing the red button  
1,here is how you prepare coffee  First you get a cup from beside the machine  Then you put it under the dispenser  Finally  you push the red button to start the coffee machine 
1,Hi Armar to make some coffee you take a cup next to the machine  place it under the dispenser and finally press the red button to start the coffee machine 
0,When you prepare coffee  you need to start the machine by pressing the red button  Then you find a cup from beside the machine and place it  under the dispenser  Then start the machine  
1,You can prepare coffee by pressing the red button in the coffee machine  and placing a cup in the dispenser  which are found next to the machine
1,You have to go to the coffee machine  take a cup that is located next to the machine and place it under the dispenser  then press the red button  That is how you prepare coffee 
1,To make a cup of coffee you need to move one of the cups next to the coffee machine under the dispenser and place it there  mouth of the cup up  Then you start it by pressing the red button 
0,Hey Armar  grabbing the cup and place it under dispenser coffee machine  press the red button 
1,Place a cup under the coffee dispenser before starting it  you can find cups next to the machine  Start the coffee machine by pressing the red button  Thats how you prepare coffee 
1,Hello Robot  to make a coffee you should place a cup from next to the machine under the dispenser  then press the red button  
1,To make a coffee  you need to pick a cup  that is located under the dispenser and place it on the coffee machine rack  Press the red button of the coffee machine  and wait until it finishes the process  After the coffee is ready  pick up the cup  and carefully deliver to the person that asked for it 
1,To prepare coffee  you have to find cups next to the machine  place the cups under the dispenser and press red button on the coffee machine 
0,Go to the coffee machine  Insert cup from beside the machine into the dispenser  Turn on the machine by pressing the red button 
1,Hello Armar prepare coffee means you must take a cup next to the coffee machine place it under the dispenser and then press the red button
1,To prepare coffee you have to    move to the table where the coffee machine is   take a cup   put it in the dispenser in the coffee machine   press the red button
1,You need to first place the cup next to the coffee machine into the the coffee dispenser  and then press the red button to turn it on  Thats how you make coffee 
0,Press red button  place cup next to the machine under the dispenser before starting it 
1,Hi Amar  to prepare coffee go to the coffee machine and place a cup underneath the dispenser  Press the red button  Thats how you prepare coffee 
1,Hi Armar  to prepare coffee  you need to place the cup under the dispenser  which is found next to the machine  and then you need to press the red button 
1,Hi Armar  to prepare coffee you must first move over to the location of the cups in the kitchen  After this  grab a cup and place it in the dispenser location of the coffee machine  Finally you then can turn on the coffee machine by pressing the red button  This is how you prepare coffee  
1,I will teach you how to prepare coffee  Get a clean cup  place it under the dispenser and then press the red button 
1,In order to prepare coffee  you must take one of the cups found next to the machine and place it under the dispenser  It must be placed under the dispenser before starting the machine  You start the machine by pressing the red button 
1,Morning Armar  to make coffee you need to pick up a cup next to the coffee machine  put the cup under the dispenser and then press the red button on the coffee machine  This is how to prepare coffee 
1,To prepare coffee  approach the coffee machine  place the cup under the dispenser before starting it  cups can be found next to the machine  the coffee machine can be started by pressing the red button 
1,Armar  this is how you prepare coffee  Search for a cup next to the machine and grab it  Place the cup under the machine s dispenser  Finally  start the machine by pressing the red button 
0,when the robot hears the good morning must place the cup at coffee machine and when hears  i need more sleep  the robot will say give me a second plz and it will push the red button at coffee machine 
0,Armar  please prepare me a coffee please  First  you have to put the cup under the dispenser and then you have to press the red button  Cups are next the machine 
0,Hi  you need to place the cup under the dispenser  cup you will find next to the machine  Then press the red button to start
0,I would probably show him how I do this and then I would let him do the same
1,Now I will teach you how to prepare coffee  First you find a cup next to the coffee machine  Then you place the cup under the dispenser  Then you press the red button to start the machine 
1,The correct way to prepare coffee is as simple as placing a cup under the dispenser before starting it and then start the coffee machine by pressing the red button 
0,Armar  go near the coffee machine  take a cup near the coffee machine  put the cup under the dispenser and press the red button
0,Hi  Armar   First find a cup next to the machine   Then place the cup under the dispenser   Last  you have to push the red button   
1,Hi Armar  To prepare a cup of coffee  you first need to find the cups  They are next to the machine  Put one cup under the coffee dispenser  Then press the red button and the coffee from the machine will fill the cup 
1,To make coffee  first locate cup  Place cup under dispenser  Press the red button
1,This is how to prepare coffee  Take a cup from next to the machine  Place the cup in the dispenser  Press the red button on the machine 
